ID,Area,Finding,Impact,Severity,Confidence,Evidence,Recommendation,Owner,Effort,Dependency,Target release,Status
RISK-001,Kubernetes/MCP security,"Deployment mounts a kubeconfig and does not pass --read-only, while the server defaults to read-write and registers write tools when not read-only.","In-cluster MCP clients may mutate or delete resources, exec into pods, run kubectl, or launch write-capable agent actions with the mounted kubeconfig's privileges.",Critical,High,"deploy/k8s-mcp-server.yaml; src/main.go; src/pkg/k8s/client.go","Make deployed default read-only, remove privileged kubeconfig from the default manifest, rely on least-privilege ServiceAccount RBAC, and require explicit operator opt-in for write mode.",Platform/SRE,M,"Deployment mode decision; RBAC policy","Immediate hardening","Implemented"
RISK-002,MCP/secret safety,"Read-oriented outputs can leak secrets through raw pod logs, pod debug logs, and Helm release config/manifests.","Agent-visible responses can include tokens, passwords, rendered Secret manifests, or application logs containing credentials.",Critical,High,"src/handlers/k8s.go; src/pkg/k8s/sanitize.go; src/pkg/helm/client.go","Sanitize all text outputs, redact Helm release Config and Secret manifests by default, and add an explicit unsafe raw-output gate if raw access is required.",Platform/Security,M,"Redaction policy; test fixtures with synthetic secrets","Immediate hardening","Implemented"
RISK-003,MCP/agent interface,"runKubectlCommand is a broad escape hatch; shell syntax is blocked, but arbitrary kubectl verbs and output shapes remain available in write mode.","Agents can bypass typed tool safety boundaries and perform broad unintended operations or leak sensitive values that structured tools would redact.",High,High,"src/main.go; src/tools/k8s.go; src/pkg/k8s/client.go","Disable this tool in production by default or replace it with an allowlisted structured command policy and resource-aware output sanitization.",Platform/Security,M,"Permission model for dangerous tools","Immediate hardening","Implemented"
RISK-004,Multi-cluster reliability,"switchContext mutates shared Kubernetes clients process-wide while other handlers use the same client without request/session scoping.","Concurrent MCP clients can accidentally target the wrong cluster or race during context changes.",High,Medium,"src/main.go; src/tools/k8s.go","Remove process-global context switching or make context an explicit per-call/session parameter backed by immutable per-context clients.",Platform,L,"Session model decision","Immediate hardening","Implemented"
RISK-005,Authentication/authorization,"HTTP MCP deployment exposes the endpoint inside the cluster without application-level authentication or per-tool authorization.","Any reachable in-cluster workload allowed by NetworkPolicy can call available tools, including dangerous tools if write mode is enabled.",High,Medium,"deploy/k8s-mcp-server.yaml; src/main.go","Add authentication for HTTP transports and enforce per-tool authorization scopes; tighten NetworkPolicy to named client identities where possible.",Platform/Security,L,"Identity provider or service mesh decision","Immediate hardening","Implemented"
RISK-006,Declarative/idempotent behavior,"createResourceYAML says kind is optional and claims server-side apply, but the client resolves GVR from the kind argument and uses merge patch.","Tool behavior can fail unexpectedly and does not converge deleted fields like declarative apply.",Medium,High,"src/tools/k8s.go; src/pkg/k8s/client.go","Infer kind/apiVersion from the manifest and use server-side apply with field manager, dry-run support, and conflict reporting.",Platform,M,"Apply strategy decision","Near-term hardening","Implemented"
RISK-007,Reliability/efficiency,"Many list operations are unpaginated and can scan broad cluster state.","Large clusters can produce slow responses, high API-server load, or truncated agent responses that omit important state.",Medium,High,"src/pkg/k8s/client.go; src/pkg/k8s/gpu.go","Add pagination, explicit limits, selectors, and bounded default scopes for broad listing tools.",Platform,M,"Tool response contract updates","Near-term hardening","Mitigated"
RISK-008,Helm reliability,"Helm operations accept context in function signatures but do not use it to bound chart resolution or action execution consistently.","A stuck chart download or Helm operation can exceed MCP request expectations and reduce server reliability.",Medium,Medium,"src/pkg/helm/client.go","Apply per-tool timeouts and context-aware execution around chart lookup and Helm action calls where supported.",Platform,M,"Helm client behavior review","Near-term hardening","Mitigated"
RISK-009,Reproducibility/supply chain,"Docker build bakes whatever local src/skills/ subdirectories exist on the build host into the image, and those subdirectories are gitignored.","Image contents can vary build-to-build depending on the operator's local skill set; unreviewed instructions could ship in a release without leaving a git trace.",Medium,High,"src/Dockerfile; src/.dockerignore; .gitignore","Treat src/skills/ as a curated audited set scoped to the DevOps-engineer role (Kubernetes monitoring/remediation, shell scripts, Python/Rust, NVIDIA NIM stack). Maintain the canonical list in README.md and validate via `make check` plus the per-skill quick_validate.py. For runtime-only overrides without rebuilding, volume-mount over /home/appuser/.config/opencode/skills.",Platform/Security,S,"Skill packaging decision","Near-term hardening","Mitigated"
RISK-010,Documentation/operability,"README deployment description does not match the manifest: it describes a Deployment and small resources, while the manifest is a DaemonSet with much larger requests/limits.","Operators can mis-estimate cost, blast radius, scheduling behavior, and rollout semantics.",Low,High,"README.md; deploy/k8s-mcp-server.yaml","Align README with the manifest or move deployment shape and resources into configurable values.",Platform/SRE,S,"Deployment architecture decision","Opportunistic","Implemented"
